SKU,Assigned_Slot,rack,bay,level,priority_score,total_demand,volatility,order_frequency,distance_to_dispatch,x_coord,y_coord
M2N3G9211,R15-B14-L06,15,14,6,0.18808939032001176,36,1.4142135623730951,8,15.5,35.0,17.0
M2N3G8816,R18-B19-L05,18,19,5,0.18793209990948379,18,0.7071067811865476,8,14.5,44.0,22.0
M16280252,R11-B22-L07,11,22,7,0.18704369232793144,18,0.7867957924694432,7,17.5,25.0,25.0
M2N3SG065,R18-B19-L07,18,19,7,0.18686449551054385,264,7.0,33,14.5,44.0,22.0
M16280354,R14-B15-L01,14,15,1,0.18558764925489926,68,2.3157368940873577,14,15.5,34.0,18.0
M2N3R7115,R14-B17-L03,14,17,3,0.18555830987957297,876,22.40589651022923,58,13.5,34.0,20.0
M2N3SG021,R15-B17-L04,15,17,4,0.18554467970309124,240,6.62804907063599,30,12.5,35.0,20.0
M2N3SG134,R18-B19-L03,18,19,3,0.18554467970309124,240,6.62804907063599,30,14.5,44.0,22.0
M2N4R0417,R20-B23-L04,20,23,4,0.18552553848178718,48,2.2677868380553634,7,15.5,49.0,26.0
M2N3G7740,R12-B20-L04,12,20,4,0.18543463071667354,288,7.362553100703351,44,15.5,29.0,23.0
M2N4R7105,R15-B17-L03,15,17,3,0.185245911085293,16,0.7559289460184545,7,12.5,35.0,20.0
M2N4G7938,R12-B20-L01,12,20,1,0.18401118470347733,14,1.0,4,15.5,29.0,23.0
M16280419,R12-B20-L02,12,20,2,0.18368890830999282,44,2.0701966780270626,8,15.5,29.0,23.0
M2N3G8340,R21-B22-L04,21,22,4,0.18361137771082311,252,6.475457116363673,47,17.5,50.0,25.0
M2N4G9211,R18-B19-L04,18,19,4,0.1834966644749031,22,1.0350983390135313,8,14.5,44.0,22.0
M2N4G7939,R14-B15-L02,14,15,2,0.18334545355221737,64,2.3965787580611124,13,15.5,34.0,18.0
M2N3R7034,R21-B22-L05,21,22,5,0.18289419886645333,1824,55.422181315951306,45,17.5,50.0,25.0
M2N4G9210,R21-B22-L01,21,22,1,0.18266893864011574,34,1.337115846843043,12,17.5,50.0,25.0
M2N4G7940,R15-B17-L06,15,17,6,0.18251636465825044,59,2.2588855886396955,13,12.5,35.0,20.0
M2N3SG063,R21-B22-L03,21,22,3,0.18246631307057481,272,7.860066485805977,31,17.5,50.0,25.0
M16280457,R15-B17-L05,15,17,5,0.18206684587264485,54,2.9277002188455996,7,12.5,35.0,20.0
M16280242,R17-B17-L05,17,17,5,0.18183091025685288,27,1.4638501094227998,7,12.5,40.0,20.0
M2N3G7143,R14-B15-L06,14,15,6,0.18144041203787412,16,1.0954451150103321,5,15.5,34.0,18.0
M16280287,R17-B17-L01,17,17,1,0.1814404120378741,16,1.0954451150103324,5,12.5,40.0,20.0
M2N3R7124,R11-B23-L01,11,23,1,0.18139740827383535,300,8.41554046519422,37,16.5,25.0,26.0
M2N3G7140,R21-B22-L07,21,22,7,0.1813009534407639,18,1.0954451150103321,6,17.5,50.0,25.0
M16280384,R20-B22-L01,20,22,1,0.18116885936543553,5,0.7071067811865476,2,16.5,49.0,25.0
M2N3G7386,R16-B13-L07,16,13,7,0.18111101647376157,32,1.3751033019046572,11,15.5,39.0,16.0
M2N3R0436,R12-B20-L05,12,20,5,0.1810727148378906,60,2.486326242032244,12,15.5,29.0,23.0
M16280231,R20-B22-L06,20,22,6,0.18084233673141106,40,2.8284271247461903,5,16.5,49.0,25.0
M2N3SG602,R21-B22-L02,21,22,2,0.18010917243353755,64,4.131182235954578,6,17.5,50.0,25.0
M16280361,R14-B17-L01,14,17,1,0.17982954503704338,32,2.065591117977289,6,13.5,34.0,20.0
M16280300,R15-B17-L07,15,17,7,0.1797927760227261,60,2.696799449852968,11,12.5,35.0,20.0
